DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2012.10.11,58995,59985,58800,59900,1466,0,0
2012.10.12,59685,59885,59085,59485,1401,0,0
2012.10.15,59995,60345,59205,60205,2071,0,0
2012.10.16,60475,60980,60120,60235,1481,0,0
2012.10.17,60475,60900,60235,60690,1116,0,0
2012.10.18,60470,60695,59875,60330,1501,0,0
2012.10.19,60110,60370,59245,59295,1436,0,0
2012.10.22,59390,59675,59020,59260,1181,0,0
2012.10.23,58795,58860,57795,58040,1376,0,0
2012.10.24,58275,58420,57580,57590,996,0,0
2012.10.25,58105,58730,58065,58175,1261,0,0
2012.10.26,57430,58235,57355,57765,1426,0,0
2012.10.29,56990,57580,56955,57575,666,0,0
2012.10.30,57810,58130,57560,58015,936,0,0
2012.10.31,58290,58395,57215,57395,1466,0,0
2012.11.01,57520,58765,57310,58750,1681,0,0
2012.11.05,58005,58615,57800,58415,1221,0,0
2012.11.06,58720,59925,58415,59770,1971,0,0
2012.11.07,59660,59715,58525,58710,1431,0,0
2012.11.08,58700,59335,57640,57790,2481,0,0
2012.11.09,57480,58420,57060,57530,2671,0,0
2012.11.12,57795,57920,57215,57265,881,0,0
2012.11.13,56695,57790,56625,57735,1291,0,0
2012.11.14,57525,57625,56180,56310,1676,0,0
2012.11.16,55670,56400,55250,55310,1941,0,0
2012.11.19,55970,56870,55890,56550,1381,0,0
2012.11.21,56785,56905,56045,56335,1271,0,0
2012.11.22,56615,56790,56380,56590,796,0,0
2012.11.23,56580,57685,56400,57675,1476,0,0
2012.11.26,57275,57425,56550,56840,1316,0,0
2012.11.27,56800,57555,56140,56180,2211,0,0
2012.11.28,56015,56720,55690,56655,1421,0,0
2012.11.29,57035,57910,56680,57800,1696,0,0
2012.11.30,57910,58170,56695,57700,2741,0,0
2012.12.03,57965,58445,57465,58195,1731,0,0
2012.12.04,58150,58610,57535,57575,1576,0,0
2012.12.05,58120,58140,57205,57650,1401,0,0
2012.12.06,57745,57825,57105,57635,1331,0,0
2012.12.07,57735,58645,57610,58420,1386,0,0
2012.12.10,58290,59685,58120,59615,1806,0,0
2012.12.11,59600,60305,59420,60070,1301,0,0
2012.12.12,60095,60445,59765,60090,1356,0,0
2012.12.13,59790,60520,59565,59715,1836,0,0
2012.12.14,60070,60390,59720,60075,1336,0,0
2012.12.17,59990,60440,59775,60165,1156,0,0
2012.12.18,60345,61070,60155,60925,1251,0,0
2012.12.19,61255,61665,60800,61475,1511,0,0
2012.12.20,61310,61600,61065,61585,796,0,0
2012.12.21,60710,61290,60575,61180,961,0,0
2012.12.26,61195,61735,61150,61500,866,0,0
2012.12.27,61430,61595,60620,60835,1356,0,0
2012.12.28,61075,61455,60790,61270,1136,0,0
2013.01.02,62795,63335,62450,63055,1511,0,0
2013.01.04,63350,63650,63150,63250,901,0,0
2013.01.07,63115,63415,63015,63315,601,0,0
2013.01.08,62985,62985,62115,62115,871,0,0
2013.01.09,62015,62585,62015,62500,656,0,0
2013.01.10,62255,62255,62000,62155,411,0,0
2013.01.14,62950,63000,62950,63000,51,0,0
2013.01.15,62500,62500,62100,62200,501,0,0
2013.01.16,62315,62315,62015,62100,386,0,0
2013.01.17,62780,63000,62780,63000,221,0,0
2013.01.18,62985,62985,62615,62950,706,0,0
2013.01.22,62400,62985,62000,62650,1721,0,0
2013.01.23,62815,63270,62815,63270,456,0,0
2013.01.29,61100,61600,61100,61500,601,0,0
2013.01.30,60400,60800,60200,60700,901,0,0
2013.02.05,60100,60400,60000,60300,601,0,0
2013.02.06,59975,59975,59475,59575,601,0,0
2013.02.08,59445,59445,59045,59145,501,0,0
2013.02.13,58420,58420,58420,58420,1,0,0
2013.02.14,58250,58350,58000,58000,451,0,0
2013.02.15,58800,58850,57800,57850,1151,0,0
2013.02.19,58050,58450,58050,58350,501,0,0
