DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2013.08.08,1286.15,1314.24,1282.85,1312.4,207865,0,0
2013.08.09,1312.28,1317.13,1304.85,1314.3,168033,0,0
2013.08.12,1314.6,1343.95,1314,1336.09,203752,0,0
2013.08.13,1335.9,1341.31,1318.59,1320.69,239485,0,0
2013.08.14,1320.9,1336.22,1315.79,1335.87,210718,0,0
2013.08.15,1336.05,1370.05,1318.79,1366.13,306155,0,0
2013.08.16,1365.7,1379.47,1357.64,1376.33,255622,0,0
2013.08.19,1379.01,1384.3,1362.36,1365.12,210175,0,0
2013.08.20,1364.88,1377.5,1352.24,1370.75,246149,0,0
2013.08.21,1370.59,1379.02,1359.75,1364.85,287789,0,0
2013.08.22,1366.03,1381.71,1355,1375.81,246019,0,0
2013.08.23,1375.93,1399.97,1368.55,1397.2,235386,0,0
2013.08.26,1398.5,1406.82,1389.42,1404.82,210757,0,0
2013.08.27,1404.78,1423.67,1395.57,1415.65,254499,0,0
2013.08.28,1415.39,1433.59,1413.26,1417.53,286522,0,0
2013.08.29,1418.23,1418.23,1402.39,1406.61,268521,0,0
2013.08.30,1407.35,1411.1,1392.08,1394.98,230075,0,0
2013.09.02,1392.92,1398.17,1373.7,1391.91,148226,0,0
2013.09.03,1392.31,1416.18,1384.37,1411.69,217695,0,0
2013.09.04,1411.66,1414.89,1384.57,1390.69,213414,0,0
2013.09.05,1391.57,1399.78,1364.85,1366.87,243508,0,0
2013.09.06,1366.25,1393.44,1358.48,1391.26,214597,0,0
2013.09.09,1390.55,1394.49,1381.94,1386.28,140018,0,0
2013.09.10,1386.89,1391.22,1357.69,1363.21,179164,0,0
2013.09.11,1363.39,1368.45,1356.59,1365.2,159063,0,0
2013.09.12,1366.07,1366.16,1319.54,1320.22,250217,0,0
2013.09.13,1321.57,1330.77,1304.75,1325.72,252237,0,0
2013.09.16,1334.16,1334.7,1302.84,1313.67,256397,0,0
2013.09.17,1312.35,1323.84,1306.1,1309.77,196817,0,0
2013.09.18,1309.25,1367.45,1291.54,1363.97,329240,0,0
2013.09.19,1364.18,1375.15,1358.54,1364.75,254693,0,0
2013.09.20,1365.35,1368.24,1324.71,1325.2,244391,0,0
2013.09.23,1326.51,1331.64,1313.79,1321.18,218337,0,0
2013.09.24,1321.72,1329.15,1305.66,1322.43,250217,0,0
2013.09.25,1323.3,1337.94,1316.48,1332.58,240307,0,0
2013.09.26,1333.05,1339.22,1318.73,1322.85,209132,0,0
2013.09.27,1323.15,1343.92,1319.65,1336.24,351965,0,0
2013.09.30,1342.88,1351.95,1322.59,1327.88,189835,0,0
