DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2013.02.25,7722,7875.5,7651,7651,3781,0,0
2013.02.26,7639.5,7679,7612,7645.5,1281,0,0
2013.02.27,7656,7693,7592.5,7693,1641,0,0
2013.02.28,7730,7884,7715.5,7884,1831,0,0
2013.03.01,7745.5,7784.5,7643,7780,2486,0,0
2013.03.04,7682.5,7782,7651.5,7782,1616,0,0
2013.03.05,7763,7900.5,7753,7894,1641,0,0
2013.03.06,7870.5,7994,7869,7956,1646,0,0
2013.03.07,7952,7976.5,7928,7974,751,0,0
2013.03.08,7965.5,8049,7965.5,8049,836,0,0
2013.03.11,8003,8041,7975,8041,941,0,0
2013.03.12,7999,8022,7952,7990.5,1316,0,0
2013.03.13,7994,8006.5,7958.5,7999.5,906,0,0
2013.03.14,8010.5,8078,8001,8075,896,0,0
2013.03.15,8085.5,8094,8012,8054.5,1331,0,0
2013.03.18,7895,8038.5,7888.5,8033,1621,0,0
2013.03.19,8007.5,8020.5,7938,7972,1296,0,0
2013.03.20,7984.5,8050.5,7984.5,8032,846,0,0
2013.03.21,8004.5,8019.5,7903.5,7943,1706,0,0
2013.03.22,7922.5,8014.5,7895,8014.5,1471,0,0
2013.03.25,8021,8049.5,7865.5,7910,2571,0,0
2013.03.26,7913,7932.5,7877,7919.5,1046,0,0
2013.03.27,7920,7937,7765,7833,2571,0,0
2013.03.28,7809.5,7863.5,7792.5,7848,1036,0,0
2013.04.02,7802,7969,7798.5,7943.5,1996,0,0
2013.04.03,7927.5,7973,7873,7910,1826,0,0
2013.04.04,7914.5,7948,7822,7843.5,1811,0,0
2013.04.05,7820,7843,7648.5,7691,2601,0,0
2013.04.08,7697,7712.5,7665,7701,911,0,0
2013.04.09,7713,7735,7624,7705,2141,0,0
2013.04.10,7673,7844,7670,7844,1771,0,0
2013.04.11,7824,7936.5,7801.5,7936.5,1576,0,0
2013.04.12,7848,7854.5,7739.5,7798.5,1806,0,0
2013.04.15,7763,7788.5,7662,7685,1751,0,0
2013.04.16,7699,7756,7652.5,7730,1761,0,0
2013.04.17,7713.5,7746.5,7495,7510.5,3001,0,0
2013.04.18,7542.5,7563.5,7459,7478.5,1451,0,0
2013.04.19,7514,7540,7437.5,7481,1721,0,0
2013.04.22,7524,7550.5,7448.5,7524.5,2036,0,0
2013.04.23,7491,7695,7454.5,7687.5,2846,0,0
2013.04.24,7683.5,7790,7665,7772,1616,0,0
2013.04.25,7773,7867,7754,7820.5,1786,0,0
2013.04.26,7829.5,7859.5,7780,7850,1386,0,0
2013.04.29,7848.5,7940.5,7834,7931,1306,0,0
2013.04.30,7928,7978.5,7903.5,7967.5,1106,0,0
2013.05.02,7917,8020,7904,8000,1491,0,0
2013.05.03,7983.5,8143,7968,8143,1906,0,0
2013.05.06,8141.5,8159,8112,8145,906,0,0
2013.05.07,8129.5,8217,8126.5,8204,1066,0,0
2013.05.08,8201,8275,8173.5,8275,1291,0,0
2013.05.09,8250.5,8287.5,8233.5,8283.5,751,0,0
2013.05.10,8282,8368,8261.5,8326,1691,0,0
2013.05.13,8291,8305.5,8227,8303.5,1446,0,0
2013.05.14,8309.5,8364,8243.5,8340.5,2101,0,0
2013.05.15,8351.5,8378,8311.5,8372,1126,0,0
2013.05.16,8357,8407.5,8332,8348.5,1426,0,0
2013.05.17,8364.5,8485,8343.5,8457,1906,0,0
2013.05.20,8455,8471,8408,8453,1241,0,0
2013.05.21,8443.5,8493,8408,8484.5,1291,0,0
2013.05.22,8474,8569.5,8444,8475,2501,0,0
2013.05.23,8401,8433.5,8289,8396.5,2846,0,0
2013.05.24,8396,8408,8269.5,8344.5,2256,0,0
2013.05.27,8352.5,8402.5,8339.5,8370.5,1081,0,0
2013.05.28,8406.5,8538.5,8403.5,8525,1516,0,0
2013.05.29,8447,8459,8326.5,8355,1731,0,0
2013.05.30,8331.5,8431.5,8307,8421,1596,0,0
2013.05.31,8410,8415.5,8306,8358,1671,0,0
2013.06.03,8321.5,8407.5,8223,8347,3436,0,0
2013.06.04,8356.5,8397,8248.5,8313,2536,0,0
2013.06.05,8245.5,8304.5,8173,8200,2176,0,0
2013.06.06,8196.5,8245,8059.5,8158.5,3331,0,0
2013.06.07,8138.5,8291,8043,8272,3626,0,0
2013.06.10,8253.5,8368,8247,8304,1916,0,0
2013.06.11,8284.5,8292.5,8150,8174.5,1751,0,0
2013.06.12,8213.5,8256,8112,8119.5,1941,0,0
2013.06.13,8034,8178.5,7975.5,8172.5,2676,0,0
2013.06.14,8155,8194.5,8085,8102.5,1666,0,0
2013.06.17,8153.5,8273,8151,8198,1996,0,0
2013.06.18,8215.5,8250,8181.5,8245,1076,0,0
2013.06.19,8252,8292,8140,8141.5,1936,0,0
2013.06.20,8068.5,8081.5,7877,7899,2396,0,0
2013.06.21,7943,7989,7777.5,7841,3211,0,0
2013.06.24,7762,7830.5,7660,7736.5,3156,0,0
2013.06.25,7715.5,7850.5,7715.5,7838.5,1471,0,0
2013.06.26,7819.5,7971.5,7805.5,7958.5,1931,0,0
2013.06.27,7953,8029.5,7922.5,7981,1861,0,0
2013.06.28,8003.5,8044,7908.5,7948.5,2161,0,0
2013.07.01,7958.5,8028,7892,7952,2656,0,0
2013.07.02,7979.5,7996.5,7849,7888,2036,0,0
2013.07.03,7872,7877.5,7732.5,7850,2681,0,0
2013.07.04,7868,8021.5,7867,8001.5,1756,0,0
2013.07.05,8020.5,8036.5,7806,7861.5,3021,0,0
2013.07.08,7863,8018.5,7846.5,7973.5,2336,0,0
2013.07.09,8022,8090.5,8006,8079.5,1116,0,0
2013.07.10,8058.5,8099.5,7991.5,8074.5,2001,0,0
2013.07.11,8200,8206,8131,8191,1411,0,0
2013.07.12,8179,8244.5,8176.5,8222,931,0,0
2013.07.15,8238,8274,8212.5,8239.5,1216,0,0
2013.07.16,8244,8262,8179,8200,1221,0,0
2013.07.17,8212,8271.5,8138.5,8253.5,2246,0,0
2013.07.18,8237,8340.5,8217,8328,1561,0,0
2013.07.19,8297,8340,8286,8335,701,0,0
2013.07.22,8364,8380,8311.5,8326,991,0,0
2013.07.23,8357,8368.5,8307.5,8325.5,906,0,0
2013.07.24,8320.5,8418,8317.5,8366.5,1551,0,0
2013.07.25,8370,8370,8266.5,8341,1781,0,0
2013.07.26,8341.5,8364,8217.5,8286,2376,0,0
2013.07.29,8264,8328.5,8245.5,8272.5,1576,0,0
2013.07.30,8295,8339,8245.5,8257,1491,0,0
2013.07.31,8264,8305.5,8213,8270.5,1786,0,0
2013.08.01,8320.5,8463,8310,8446,1806,0,0
2013.08.02,8443,8445.5,8378.5,8419.5,1106,0,0
2013.08.05,8423.5,8436.5,8367.5,8401,1156,0,0
2013.08.06,8400.5,8439.5,8267.5,8279,2226,0,0
2013.08.07,8253,8283.5,8231,8264,941,0,0
2013.08.08,8277.5,8353,8251.5,8337.5,1431,0,0
2013.08.09,8338,8375.5,8285,8353,1661,0,0
2013.08.12,8359.5,8373,8238,8359.5,2701,0,0
2013.08.13,8410.5,8446.5,8382.5,8443,956,0,0
2013.08.14,8438,8459.5,8401,8438.5,1166,0,0
2013.08.15,8415,8423.5,8307.5,8364,1811,0,0
2013.08.16,8355,8403.5,8330.5,8378.5,1226,0,0
2013.08.19,8377.5,8396.5,8326,8336.5,1001,0,0
2013.08.20,8313.5,8321.5,8245,8298.5,1381,0,0
2013.08.21,8299,8344,8265,8290.5,1496,0,0
2013.08.22,8261,8431.5,8260,8421,1831,0,0
2013.08.23,8417.5,8439.5,8359,8425.5,1531,0,0
2013.08.26,8429.5,8446,8386.5,8408.5,981,0,0
2013.08.27,8377,8424.5,8192.5,8206,2931,0,0
2013.08.28,8218.5,8238.5,8095.5,8148.5,2161,0,0
2013.08.29,8152,8200.5,8131,8169,1221,0,0
2013.08.30,8210,8210,8087.5,8105,1401,0,0
2013.09.02,8187,8268.5,8186,8233,1191,0,0
2013.09.03,8254.5,8276.5,8139,8177,1976,0,0
2013.09.04,8200,8224,8094.5,8224,2351,0,0
2013.09.05,8230.5,8265,8168.5,8251,1726,0,0
2013.09.06,8215,8305,8179,8262,2051,0,0
2013.09.09,8288,8323.5,8251.5,8318,1141,0,0
2013.09.10,8335,8484,8332.5,8459.5,1786,0,0
2013.09.11,8475,8518,8452,8470.5,1276,0,0
2013.09.12,8510,8523.5,8473.5,8483.5,736,0,0
2013.09.13,8484,8525,8462.5,8507.5,1016,0,0
2013.09.16,8614.5,8632.5,8582.5,8607.5,931,0,0
2013.09.17,8612.5,8630,8591,8622.5,681,0,0
2013.09.18,8633.5,8764,8600.5,8749.5,2111,0,0
2013.09.19,8751,8777.5,8672.5,8687,1461,0,0
2013.09.20,8697.5,8718,8660.5,8661,786,0,0
2013.09.23,8692,8703.5,8608.5,8643,1411,0,0
2013.09.24,8653,8691,8637,8661.5,996,0,0
2013.09.25,8663,8686.5,8614,8656.5,1386,0,0
2013.09.26,8687,8696,8631.5,8676,1181,0,0
2013.09.27,8671,8694.5,8615,8674,1561,0,0
2013.09.30,8590,8621.5,8550.5,8607,1251,0,0
2013.10.01,8630.5,8702,8614.5,8692,1136,0,0
2013.10.02,8681,8681,8583.5,8653.5,1676,0,0
