DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2013.05.10,96.33,96.44,93.6,96.13,549,549,0
2013.05.13,95.92,95.93,94.68,95.16,175,175,0
2013.05.14,95.15,95.89,94.14,94.51,287,287,0
2013.05.15,94.48,94.73,92.43,94.69,440,440,0
2013.05.16,94.6,95.89,93.59,95.6,361,361,0
2013.05.17,95.57,96.83,95.16,96.35,257,257,0
2013.05.20,96.33,97.42,95.55,96.93,315,315,0
2013.05.21,96.97,97.26,95.81,96.01,195,195,0
2013.05.22,96.02,96.3,94.14,94.28,259,259,0
2013.05.23,94.31,94.56,92.35,94.55,419,419,0
2013.05.24,94.44,94.5,93.16,94.02,227,227,0
2013.05.27,94.03,94.03,93.4,93.87,111,111,0
2013.05.28,93.74,96.05,93.69,95.19,328,328,0
2013.05.29,95.21,95.39,93.02,93.07,261,261,0
2013.05.30,93.12,94.14,91.83,93.72,403,403,0
2013.05.31,93.75,94,91.76,91.79,253,253,0
2013.06.03,91.95,93.85,91.47,93.5,322,322,0
2013.06.04,93.51,94.58,92.56,94.04,352,352,0
2013.06.05,94.11,94.65,93.6,93.92,192,192,0
2013.06.06,93.97,95.47,93.85,94.95,227,227,0
2013.06.07,94.94,96.56,93.93,96.44,377,377,0
2013.06.10,96.33,96.45,95.39,95.96,176,176,0
2013.06.11,95.94,96.09,94.24,95.11,288,288,0
2013.06.12,95.03,96.62,94.63,95.99,303,303,0
2013.06.13,95.95,97.1,95.24,96.9,278,278,0
2013.06.14,96.88,98.44,96.61,98.04,251,251,0
2013.06.17,98.02,98.92,97.58,98.14,257,257,0
2013.06.18,98.15,98.85,97.63,98.8,180,180,0
2013.06.19,98.75,99.18,97.75,98.11,223,223,0
2013.06.20,98.14,98.17,94.36,95.36,485,485,0
2013.06.21,94.73,95.53,92.71,93.56,448,448,0
2013.06.24,93.4,94.99,92.24,94.99,392,392,0
2013.06.25,94.3,95.36,93.88,94,267,267,0
2013.06.26,94.52,95.25,93.21,95.25,336,336,0
2013.06.27,94.9,96.68,94.72,96.68,215,215,0
2013.06.28,96.04,97,95.23,95.23,274,274,0
2013.07.01,95.82,97.38,95.35,97.3,259,259,0
2013.07.02,97.01,98.9,96.77,98.9,238,238,0
2013.07.03,98.41,100.79,98.29,100.5,292,292,0
2013.07.04,99.93,100.23,99.4,100,160,160,0
2013.07.05,99.88,102.46,99.64,102.46,307,307,0
2013.07.08,102.31,102.48,100.93,102.07,287,287,0
2013.07.09,101.68,102.93,101.21,102.62,251,251,0
2013.07.10,102.78,104.05,102.39,103.38,273,273,0
2013.07.11,103.87,104.83,102.46,104,462,462,0
2013.07.12,102.82,104.9,102.54,104.9,265,265,0
2013.07.15,104.02,104.75,102.97,104.66,293,293,0
2013.07.16,104.54,105.32,104.08,104.61,242,242,0
2013.07.17,104.18,105.1,103.52,105.02,233,233,0
2013.07.18,104.99,106.96,104.57,106.96,282,282,0
2013.07.19,106.32,107.05,105.19,106.58,347,347,0
2013.07.22,106.36,106.82,105.04,105.68,289,289,0
2013.07.23,105.55,106,104.23,106,310,310,0
2013.07.24,105.86,106.04,103.53,104.07,324,324,0
2013.07.25,104.1,104.78,103.07,104.76,277,277,0
2013.07.26,104.61,104.67,103.09,104.25,281,281,0
2013.07.29,103.98,104.61,103.24,103.76,253,253,0
2013.07.30,103.8,103.82,102.1,102.47,212,212,0
2013.07.31,102.55,104.56,102.22,104.56,268,268,0
2013.08.01,104.36,107.07,104.24,107.07,296,296,0
2013.08.02,106.81,107.75,105.7,106.5,380,380,0
2013.08.05,106.09,106.94,104.95,105.85,375,375,0
2013.08.06,105.77,106.55,104.31,105.24,396,396,0
2013.08.07,105.09,105.16,103.62,103.96,196,196,0
2013.08.08,103.71,104.48,101.79,103.13,481,481,0
2013.08.09,103.14,105.31,103.02,105.21,252,252,0
2013.08.12,105.04,105.7,104.26,105.62,231,231,0
2013.08.13,105.59,106.55,105.13,106.09,235,235,0
2013.08.14,106.06,106.72,105.31,106.69,220,220,0
2013.08.15,106.67,107.49,106.23,107.05,215,215,0
2013.08.16,106.97,107.92,106.37,107.46,262,262,0
2013.08.19,107.41,107.52,106.26,106.71,183,183,0
2013.08.20,106.66,106.91,104.61,105.12,307,307,0
2013.08.21,105.13,105.32,103.48,103.82,238,238,0
2013.08.22,103.82,105.21,103.5,105.18,207,207,0
2013.08.23,105.17,106.89,104.27,106.28,414,414,0
2013.08.26,106.81,107.28,105.52,106.11,283,283,0
2013.08.27,106.13,109.27,105.86,109.01,395,395,0
2013.08.28,109.17,112.2,109.09,109.46,594,594,0
2013.08.29,107.31,107.74,105.61,106.05,301,301,0
2013.08.30,106.03,106.66,104.75,105.58,338,338,0
2013.09.02,104.98,105.47,102.2,105.03,650,650,0
2013.09.03,105.08,106.67,104.68,106.23,284,284,0
2013.09.04,106.26,106.43,105,105.3,191,191,0
2013.09.05,105.55,106.61,105.27,106.43,181,181,0
2013.09.06,106.55,108.05,106.07,107.47,305,305,0
2013.09.09,107.36,107.75,106.04,106.21,228,228,0
2013.09.10,106.16,106.36,104.06,104.72,317,317,0
2013.09.11,104.78,105.55,104.11,105.23,244,244,0
2013.09.12,105.26,106.55,104.86,106.35,230,230,0
2013.09.13,106.18,106.33,104.85,106.27,288,288,0
2013.09.16,105.27,105.75,104.1,104.45,249,249,0
2013.09.17,104.47,104.61,102.96,103.22,206,206,0
2013.09.18,103.24,106.2,103.06,105.97,356,356,0
2013.09.19,105.9,106.64,104.21,104.4,337,337,0
2013.09.20,104.37,104.81,103.39,103.75,223,223,0
2013.09.23,103.71,104.01,102.18,102.5,246,246,0
2013.09.24,102.53,102.83,101.55,102.65,245,245,0
2013.09.25,102.68,103.3,101.54,101.65,250,250,0
2013.09.26,101.68,102.65,101.55,102.28,161,161,0
2013.09.27,102.32,103.14,101.8,102.25,262,262,0
2013.09.30,101.85,102.3,100.6,101.76,332,332,0
2013.10.01,101.78,102.08,100.69,101.22,223,223,0
2013.10.02,101.16,103.69,101.01,103.32,321,321,0
2013.10.03,103.31,103.91,102.49,102.5,204,204,0
2013.10.04,102.55,103.75,102.55,103.35,161,161,0
2013.10.07,103.02,103.4,101.58,102.93,356,356,0
2013.10.08,102.92,103.83,102.61,103.31,206,206,0
2013.10.09,103.23,103.5,100.99,101.24,304,304,0
2013.10.10,101.25,103.31,100.96,102.8,316,316,0
2013.10.11,102.73,102.75,100.57,101.72,336,336,0
2013.10.14,101.32,102.61,101.1,102.21,214,214,0
2013.10.15,102.19,102.5,101.04,101.08,182,182,0
2013.10.16,101.05,103.11,100.93,102.29,313,313,0
2013.10.17,102.33,102.49,100.19,100.92,320,320,0
2013.10.18,100.98,101.94,100.72,101.1,233,233,0
2013.10.21,100.92,101.19,99.39,99.44,213,213,0
2013.10.22,99.46,100.26,98.08,98.09,300,300,0
2013.10.23,98.1,98.24,96.14,97.06,317,317,0
2013.10.24,97.08,97.65,95.92,97.18,337,337,0
2013.10.25,97.1,98.02,96.96,97.87,136,136,0
2013.10.27,97.7,97.71,97.49,97.59,34,34,0
2013.10.28,97.57,98.75,97.35,98.46,192,192,0
2013.10.29,98.45,98.48,97.37,97.5,128,128,0
2013.10.30,97.49,97.78,96.52,96.59,163,163,0
2013.10.31,96.58,96.99,96.01,96.29,168,168,0
2013.11.01,96.3,96.61,94.33,94.58,285,285,0
2013.11.04,94.5,95.07,94.03,94.42,201,201,0
2013.11.05,94.45,94.87,93.06,93.68,286,286,0
2013.11.06,93.72,95.36,93.6,94.93,232,232,0
2013.11.07,94.83,95.27,93.77,94.33,251,251,0
2013.11.08,94.32,94.88,93.87,94.3,201,201,0
2013.11.11,94.45,95.34,94.08,94.98,200,200,0
2013.11.12,94.97,95.18,92.84,92.99,271,271,0
2013.11.13,93.01,95.03,92.89,94.02,328,328,0
2013.11.14,94.06,95,93.13,94.47,334,334,0
2013.11.15,94.49,95.1,94.2,94.33,165,165,0
2013.11.18,94.37,94.9,93.35,93.6,234,234,0
2013.11.19,93.6,94.08,93.19,93.86,153,153,0
2013.11.20,93.82,94.44,93.22,93.69,232,232,0
2013.11.21,93.67,95.55,93.43,95.18,274,274,0
2013.11.22,95.24,95.52,94.03,94.67,242,242,0
2013.11.25,93.79,94.46,93.08,94.15,241,241,0
2013.11.26,94.15,94.65,93.4,93.45,181,181,0
2013.11.27,93.44,93.57,91.74,92.32,255,255,0
2013.11.28,92.29,92.32,92.03,92.19,49,49,0
2013.11.29,92.28,93.86,92.08,92.75,310,310,0
2013.12.02,92.65,94.03,92.54,93.9,174,174,0
2013.12.03,93.85,96.92,93.64,96.86,356,356,0
2013.12.04,96.85,97.54,96.27,97.25,215,215,0
