DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2011.11.23,1.8134,1.8664,1.8125,1.8495,302,0,100
2011.11.24,1.8625,1.886,1.8449,1.8676,313,0,0
2011.11.25,1.894,1.9076,1.8729,1.883,371,0,100
2011.11.28,1.887,1.8875,1.8458,1.8608,314,0,100
2011.11.29,1.8497,1.8503,1.8325,1.8412,435,0,0
2011.11.30,1.8412,1.8429,1.7939,1.8038,424,0,0
2011.12.01,1.8037,1.804,1.7821,1.7982,355,0,0
2011.12.02,1.7952,1.796,1.7754,1.7847,228,0,0
2011.12.05,1.79,1.7915,1.7738,1.7829,342,0,0
2011.12.06,1.7847,1.7934,1.7749,1.7876,337,0,0
2011.12.07,1.7873,1.7976,1.7857,1.792,347,0,0
2011.12.08,1.7945,1.813,1.7807,1.813,442,0,0
2011.12.09,1.8088,1.8203,1.8005,1.8012,327,0,0
2011.12.11,1.8024,1.8035,1.8015,1.8025,8,0,100
2011.12.12,1.8025,1.8363,1.7927,1.8335,379,0,0
2011.12.13,1.8261,1.8531,1.8261,1.836,285,0,0
2011.12.14,1.8536,1.8787,1.8536,1.8751,466,0,0
2011.12.15,1.8748,1.8767,1.85,1.856,1028,0,0
2011.12.16,1.855,1.8562,1.8368,1.8482,957,0,0
2011.12.19,1.8485,1.8649,1.8469,1.8609,937,0,100
2011.12.20,1.8629,1.8634,1.835,1.8403,1025,0,0
2011.12.21,1.8385,1.8558,1.8377,1.8547,1040,0,0
2011.12.22,1.8554,1.8571,1.8458,1.8502,955,0,0
2011.12.23,1.844,1.8569,1.8437,1.854,882,0,0
2011.12.26,1.8525,1.8553,1.848,1.8512,416,0,0
2011.12.27,1.8527,1.8562,1.8498,1.8562,432,0,0
2011.12.28,1.8561,1.8797,1.8535,1.8693,852,0,0
2011.12.29,1.8691,1.8777,1.8611,1.8612,877,0,0
2011.12.30,1.8621,1.8624,1.8582,1.8624,67,0,0
2012.01.02,1.8583,1.8681,1.855,1.867,671,0,100
2012.01.03,1.8615,1.868,1.8252,1.8253,921,0,0
2012.01.04,1.8311,1.8311,1.8166,1.8257,975,0,0
2012.01.05,1.8233,1.8422,1.8233,1.8363,1002,0,0
2012.01.06,1.8358,1.8487,1.8348,1.8485,914,0,0
2012.01.09,1.8527,1.8531,1.8285,1.829,1041,0,0
2012.01.10,1.829,1.8315,1.7917,1.7946,991,0,100
2012.01.11,1.7948,1.8048,1.7944,1.798,971,0,0
2012.01.12,1.7977,1.8,1.7747,1.7755,1028,0,0
2012.01.13,1.7763,1.7958,1.7692,1.7837,1041,0,0
2012.01.15,1.79,1.79,1.7803,1.7805,5,0,100
2012.01.16,1.7806,1.7832,1.7768,1.7806,648,0,100
2012.01.17,1.7811,1.783,1.763,1.783,857,0,0
2012.01.18,1.7824,1.7835,1.7593,1.7615,885,0,0
2012.01.19,1.7616,1.7657,1.757,1.7603,875,0,0
2012.01.20,1.7602,1.7679,1.7516,1.7527,910,0,0
2012.01.22,1.7503,1.7503,1.7503,1.7503,1,0,100
2012.01.23,1.7632,1.7641,1.745,1.7511,841,0,100
2012.01.24,1.7513,1.762,1.7469,1.7528,927,0,0
2012.01.25,1.7536,1.7571,1.7516,1.7554,125,0,0
2012.01.26,1.7555,1.757,1.7284,1.7457,955,0,0
2012.01.27,1.7456,1.749,1.733,1.7336,1009,0,0
2012.01.29,1.7323,1.7323,1.7323,1.7323,1,0,100
2012.01.30,1.7325,1.7498,1.7325,1.7428,1302,0,0
2012.01.31,1.7427,1.7475,1.7303,1.7408,772,0,0
2012.02.01,1.7413,1.744,1.7259,1.7285,676,0,0
2012.02.02,1.7286,1.7321,1.7147,1.7149,1047,0,0
2012.02.03,1.7159,1.7375,1.7111,1.7128,683,0,0
2012.02.05,1.7119,1.7119,1.7119,1.7119,1,0,100
2012.02.06,1.7122,1.7256,1.7093,1.721,963,0,0
2012.02.07,1.7216,1.7262,1.715,1.7212,976,0,0
2012.02.08,1.7215,1.7228,1.7111,1.7159,918,0,0
2012.02.09,1.7164,1.7206,1.7114,1.7121,1093,0,100
