DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2014.09.04,83.05,83.995,82.965,83.92,1191,0,0
2014.09.05,84.045,84.07,83.695,83.895,601,0,0
2014.09.08,83.98,84.495,83.92,84.435,696,0,0
2014.09.09,84.555,84.645,84.175,84.29,676,0,0
2014.09.10,84.26,84.575,84.185,84.365,676,0,0
2014.09.11,84.395,84.49,84.22,84.415,521,0,0
2014.09.12,84.43,84.56,84.215,84.305,566,0,0
2014.09.15,84.305,84.54,84.285,84.36,456,0,0
2014.09.16,84.2,84.49,83.995,84.215,976,0,0
2014.09.17,84.23,84.85,84.065,84.78,1021,0,0
2014.09.18,84.745,84.89,84.33,84.36,736,0,0
2014.09.19,84.37,84.92,84.33,84.915,636,0,0
2014.09.22,84.82,84.97,84.635,84.81,661,0,0
2014.09.23,84.78,84.87,84.455,84.83,781,0,0
2014.09.24,84.77,85.21,84.7,85.16,631,0,0
2014.09.25,85.2,85.605,85.155,85.315,786,0,0
2014.09.26,85.255,85.815,85.225,85.765,671,0,0
2014.09.29,85.77,85.92,85.58,85.75,661,0,0
2014.09.30,85.725,86.33,85.61,86.025,1141,0,0
2014.10.01,86.035,86.285,85.88,85.96,736,0,0
2014.10.02,85.965,86.01,85.535,85.72,706,0,0
2014.10.03,85.71,86.865,85.71,86.77,1251,0,0
2014.10.06,86.8,86.805,85.73,85.855,1206,0,0
2014.10.07,85.935,86.21,85.64,85.725,931,0,0
2014.10.08,85.76,86.025,85.285,85.365,1086,0,0
2014.10.09,85.345,85.775,85.01,85.645,1231,0,0
2014.10.10,85.64,86.095,85.505,85.915,906,0,0
2014.10.13,85.825,85.865,85.195,85.245,761,0,0
2014.10.14,85.42,85.995,85.375,85.905,756,0,0
2014.10.15,86.03,86.12,84.52,84.875,2046,0,0
2014.10.16,84.985,85.52,84.83,84.995,1371,0,0
2014.10.17,85.03,85.345,84.845,85.295,736,0,0
2014.10.20,85.375,85.46,84.98,85.075,661,0,0
2014.10.21,85.11,85.455,84.795,85.45,981,0,0
2014.10.22,85.47,85.885,85.315,85.815,796,0,0
2014.10.23,85.86,86.04,85.75,85.945,496,0,0
2014.10.24,85.92,86,85.61,85.77,631,0,0
2014.10.27,85.68,85.78,85.465,85.61,561,0,0
2014.10.28,85.625,85.74,85.285,85.465,751,0,0
2014.10.29,85.43,86.11,85.24,86.09,1081,0,0
2014.10.30,86.095,86.565,86.07,86.2,886,0,0
2014.10.31,86.2,87.235,86.2,87.02,1251,0,0
2014.11.03,87.415,87.505,87.115,87.48,716,0,0
2014.11.04,87.34,87.36,86.965,87.135,586,0,0
2014.11.05,87.085,87.71,87.04,87.51,916,0,0
2014.11.06,87.505,88.26,87.225,88.215,1361,0,0
2014.11.07,88.17,88.3,87.54,87.645,996,0,0
2014.11.10,87.6,87.92,87.295,87.905,946,0,0
2014.11.11,87.83,88.15,87.42,87.64,1271,0,0
2014.11.12,87.75,87.97,87.46,87.865,906,0,0
2014.11.13,87.9,87.95,87.69,87.82,441,0,0
2014.11.14,87.945,88.36,87.45,87.595,1471,0,0
2014.11.17,87.595,88.045,87.23,88.025,1201,0,0
2014.11.18,87.93,87.965,87.56,87.62,501,0,0
2014.11.19,87.615,87.84,87.355,87.665,921,0,0
2014.11.20,87.775,88,87.53,87.73,896,0,0
2014.11.21,87.695,88.47,87.495,88.365,1281,0,0
2014.11.24,88.385,88.505,88.135,88.16,516,0,0
2014.11.25,88.15,88.395,87.86,87.945,866,0,0
2014.11.26,87.91,88.1,87.555,87.7,881,0,0
2014.11.27,87.69,88.015,87.57,88.005,576,0,0
2014.11.28,88.005,88.445,87.98,88.385,551,0,0
2014.12.01,88.33,88.475,87.8,88.04,1061,0,0
2014.12.02,88.005,88.72,87.985,88.68,796,0,0
2014.12.03,88.67,89.055,88.62,88.99,551,0,0
2014.12.04,88.95,89.185,88.22,88.665,1646,0,0
2014.12.05,88.655,89.695,88.645,89.585,1171,0,0
2014.12.08,89.56,89.77,89.15,89.365,1046,0,0
2014.12.09,87.995,89.48,87.995,88.97,1996,0,0
2014.12.10,87.02,89.06,87.02,88.46,2641,0,0
2014.12.11,88.19,89.04,88.185,88.72,1181,0,0
