DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2013.04.09,14505,14593,14436,14559,261,0,0
2013.04.10,14552,14708,14461,14708,339,0,0
2013.04.11,14684,14788,14579,14788,315,0,0
2013.04.12,14787,14800,14651,14800,286,0,0
2013.04.15,14702,14738,14350,14372,447,0,0
2013.04.16,14371,14625,14371,14625,255,0,0
2013.04.17,14542,14620,14419,14499,360,0,0
2013.04.18,14484,14537,14340,14340,251,0,0
2013.04.19,14312,14410,14312,14410,99,0,0
2013.04.22,14470,14475,14307,14320,187,0,0
2013.04.23,14410,14597,14360,14501,384,0,0
2013.04.24,14568,14651,14520,14540,235,0,0
2013.04.25,14600,14651,14479,14651,294,0,0
2013.04.26,14519,14643,14519,14599,169,0,0
2013.04.29,14564,14726,14514,14515,376,0,0
2013.04.30,14680,14743,14587,14743,250,0,0
2013.05.01,14742,14752,14550,14606,269,0,0
2013.05.02,14585,14722,14504,14722,300,0,0
2013.05.03,14721,14892,14623,14853,407,0,0
2013.05.06,14769,14900,14769,14900,132,0,0
2013.05.07,14832,14960,14803,14960,187,0,0
2013.05.08,14901,14997,14850,14997,199,0,0
2013.05.09,14941,15047,14930,15045,131,0,0
2013.05.10,15055,15055,14919,15006,224,0,0
2013.05.13,14973,15029,14903,14999,227,0,0
2013.05.14,15050,15150,14940,15150,321,0,0
2013.05.15,15099,15206,15072,15149,219,0,0
2013.05.16,15160,15204,15136,15151,128,0,0
2013.05.17,15171,15260,15144,15260,144,0,0
2013.05.20,15207,15320,15207,15320,114,0,0
2013.05.21,15259,15350,15230,15350,150,0,0
2013.05.22,15278,15459,15164,15300,569,0,0
2013.05.23,15256,15300,15065,15300,427,0,0
2013.05.24,15201,15291,15102,15270,310,0,0
2013.05.27,15180,15295,15145,15277,204,0,0
2013.05.28,15241,15442,15233,15429,231,0,0
2013.05.29,15286,15376,15068,15068,399,0,0
2013.05.30,15205,15355,15158,15355,245,0,0
2013.05.31,15236,15325,15030,15094,449,0,0
2013.06.03,15041,15200,15031,15200,180,0,0
2013.06.04,15151,15229,15017,15200,376,0,0
2013.06.05,15106,15130,14856,14922,365,0,0
2013.06.06,14884,15020,14762,15020,381,0,0
2013.06.07,14966,15178,14908,15165,342,0,0
2013.06.10,15133,15223,15095,15203,187,0,0
2013.06.11,15167,15179,15004,15068,252,0,0
2013.06.12,15065,15166,14900,14908,376,0,0
2013.06.13,14908,15134,14802,15128,445,0,0
2013.06.14,15121,15138,14972,14985,197,0,0
2013.06.17,14987,15194,14985,15118,288,0,0
2013.06.18,15121,15272,15106,15256,198,0,0
2013.06.19,15250,15276,15024,15030,285,0,0
2013.06.20,15039,15044,14656,14697,435,0,0
2013.06.21,14706,14799,14608,14711,378,0,0
2013.06.24,14703,14729,14473,14586,396,0,0
2013.06.25,14595,14736,14528,14684,328,0,0
2013.06.26,14680,14863,14620,14833,334,0,0
2013.06.27,14831,15000,14818,14934,262,0,0
2013.06.28,14925,15000,14803,14810,280,0,0
2013.07.01,14842,15010,14790,14883,400,0,0
2013.07.02,14880,14978,14794,14861,350,0,0
2013.07.03,14856,14955,14749,14913,356,0,0
2013.07.04,14917,15064,14915,15041,175,0,0
2013.07.05,15037,15110,14894,15072,398,0,0
2013.07.08,15077,15198,15062,15168,182,0,0
2013.07.09,15163,15256,15162,15232,120,0,0
2013.07.10,15230,15317,15191,15299,184,0,0
2013.07.11,15312,15417,15311,15387,138,0,0
2013.07.12,15388,15431,15345,15367,152,0,0
2013.07.15,15365,15442,15362,15419,107,0,0
2013.07.16,15414,15432,15351,15387,136,0,0
2013.07.17,15391,15456,15344,15410,206,0,0
2013.07.18,15433,15531,15399,15475,223,0,0
2013.07.19,15463,15509,15427,15503,125,0,0
2013.07.22,15512,15538,15457,15493,144,0,0
2013.07.23,15491,15545,15485,15516,96,0,0
2013.07.24,15517,15562,15437,15501,235,0,0
2013.07.25,15495,15502,15397,15495,211,0,0
2013.07.26,15492,15519,15342,15501,346,0,0
2013.07.29,15491,15503,15420,15479,155,0,0
2013.07.30,15476,15536,15418,15485,228,0,0
2013.07.31,15478,15579,15429,15475,298,0,0
2013.08.01,15477,15594,15470,15568,158,0,0
2013.08.02,15564,15598,15495,15589,182,0,0
2013.08.05,15577,15595,15523,15546,114,0,0
2013.08.06,15540,15561,15412,15463,222,0,0
2013.08.07,15460,15464,15374,15444,165,0,0
2013.08.08,15441,15521,15371,15453,289,0,0
2013.08.09,15449,15470,15304,15367,251,0,0
2013.08.12,15369,15402,15288,15399,199,0,0
2013.08.13,15394,15472,15305,15412,317,0,0
2013.08.14,15415,15425,15280,15291,167,0,0
2013.08.15,15283,15298,15055,15056,260,0,0
2013.08.16,15066,15111,15027,15035,138,0,0
2013.08.19,15037,15076,14977,14993,155,0,0
2013.08.20,15000,15045,14958,14986,161,0,0
2013.08.21,14988,14995,14824,14830,185,0,0
2013.08.22,14828,14963,14801,14943,210,0,0
2013.08.23,14937,15004,14903,14986,154,0,0
2013.08.26,14978,15031,14920,14934,179,0,0
2013.08.27,14935,14941,14743,14753,215,0,0
2013.08.28,14759,14846,14739,14790,184,0,0
2013.08.29,14793,14899,14781,14842,188,0,0
2013.08.30,14843,14892,14744,14798,252,0,0
2013.09.02,14850,14919,14848,14905,88,0,0
2013.09.03,14906,14926,14760,14814,241,0,0
2013.09.04,14812,14947,14781,14938,207,0,0
2013.09.05,14932,14971,14893,14910,135,0,0
2013.09.06,14909,15000,14775,14908,450,0,0
2013.09.09,14906,15080,14904,15053,206,0,0
2013.09.10,15051,15187,15038,15185,165,0,0
2013.09.11,15178,15343,15160,15341,204,0,0
2013.09.12,15337,15345,15283,15310,98,0,0
2013.09.13,15306,15394,15280,15388,147,0,0
2013.09.16,15502,15581,15471,15490,209,0,0
2013.09.17,15489,15556,15479,15537,107,0,0
2013.09.18,15539,15709,15470,15655,363,0,0
2013.09.19,15666,15726,15626,15629,164,0,0
2013.09.20,15567,15582,15396,15417,223,0,0
2013.09.23,15430,15453,15304,15329,198,0,0
2013.09.24,15329,15368,15260,15276,164,0,0
2013.09.25,15282,15305,15181,15208,175,0,0
2013.09.26,15215,15317,15207,15292,144,0,0
2013.09.27,15295,15298,15134,15175,209,0,0
2013.09.30,15103,15111,15000,15085,205,0,0
2013.10.01,15082,15138,15032,15134,161,0,0
2013.10.02,15130,15136,14968,15019,226,0,0
2013.10.03,15023,15029,14868,14890,190,0,0
2013.10.04,14894,15007,14889,14981,150,0,0
2013.10.07,14929,14948,14840,14845,133,0,0
2013.10.08,14843,14874,14675,14677,233,0,0
2013.10.09,14690,14780,14647,14720,237,0,0
2013.10.10,14719,15050,14718,15021,363,0,0
2013.10.11,15027,15190,14947,15187,327,0,0
2013.10.14,15069,15240,15036,15230,248,0,0
2013.10.15,15234,15262,15081,15113,242,0,0
2013.10.16,15102,15308,15084,15240,311,0,0
2013.10.17,15236,15311,15136,15297,290,0,0
