DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2013.04.04,145.34375,146,144.1875,146,296876,0,0
2013.04.05,145.5,147.5,145.1875,147.5,262501,0,0
2013.04.09,146.46875,147.5,146,147.5,196876,0,0
2013.04.10,146.0625,146.28125,144.96875,145.09375,165626,0,0
2013.04.11,145.0625,145.90625,144.90625,145.40625,165626,0,0
2013.04.12,145.375,147.21875,145.21875,147.21875,215626,0,0
2013.04.15,146.6875,147.96875,146.34375,147.96875,196876,0,0
2013.04.16,147.53125,147.65625,146.5,147.21875,200001,0,0
2013.04.17,146.8125,147.28125,146.5625,147.15625,109376,0,0
2013.04.22,146.84375,147.84375,146.65625,147.84375,137501,0,0
2013.04.23,147.46875,148.4375,147,147.9375,240626,0,0
2013.04.24,147.15625,147.9375,146.75,147.9375,159376,0,0
2013.04.25,147.15625,147.59375,146.59375,147.59375,156251,0,0
2013.04.26,147.0625,148.3125,147,148.3125,137501,0,0
2013.04.29,147.96875,148.5,147.59375,148.5,128126,0,0
2013.04.30,147.78125,148.5,147.5,147.71875,193751,0,0
2013.05.01,147.78125,148.9375,147.34375,148.875,209376,0,0
2013.05.02,148.5625,148.875,147.8125,148.875,181251,0,0
2013.05.03,148.5,148.9375,146.03125,146.71875,403126,0,0
2013.05.06,146.3125,146.71875,145.59375,146.71875,184376,0,0
2013.05.07,145.90625,146.25,145.21875,146.25,171876,0,0
2013.05.08,145.59375,146.25,145.15625,146.25,153126,0,0
2013.05.09,145.78125,146.5625,145.53125,146.21875,162501,0,0
2013.05.10,145.1875,145.875,143.65625,145.4375,418751,0,0
2013.05.13,143.9375,144.28125,143.28125,144,193751,0,0
2013.05.14,143.84375,144.28125,142.5625,143.625,321876,0,0
2013.05.15,142.78125,143.25,142.5625,143.25,90626,0,0
2013.05.20,143.0625,143.65625,142.625,143.4375,168751,0,0
2013.05.21,142.84375,143.5625,142.28125,143.53125,187501,0,0
2013.05.22,143.5625,144.1875,141.625,142.15625,371876,0,0
2013.05.23,141.6875,143.15625,141.3125,142.3125,306251,0,0
2013.05.24,142.125,142.9375,141.75,142.4375,206251,0,0
2013.05.27,142.34375,142.5,142.03125,142.0625,65626,0,0
2013.05.28,142,142.21875,139.53125,139.71875,309376,0,0
2013.05.29,139.75,140.84375,138.9375,140.78125,278126,0,0
2013.05.30,140.8125,141.0625,140.125,140.6875,175001,0,0
2013.05.31,140.625,141.46875,139.09375,140.375,450001,0,0
