DATE,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2013.03.15,15.7,16,15.6,15.8,71,71,0
2013.03.18,16.35,16.6,15.8,16.3,156,156,0
2013.03.19,16.15,16.9,15.85,16.2,206,206,0
2013.03.20,16.1,16.1,15.5,15.95,106,106,0
2013.03.21,15.9,16.3,15.75,16.15,86,86,0
2013.03.22,15.95,16.05,15.7,15.95,71,71,0
2013.03.25,15.65,16.2,15.5,15.8,126,126,0
2013.03.26,15.75,15.75,15.4,15.55,51,51,0
2013.03.27,15.85,16.5,15.45,16.5,146,146,0
2013.03.28,16.4,16.5,16.35,16.45,26,26,0
2013.04.01,17.2,17.35,17.15,17.25,36,36,0
2013.04.02,17.2,17.2,17,17,21,21,0
2013.04.03,16.95,17.25,16.9,17.25,41,41,0
2013.04.04,17.05,17.4,16.95,17,86,86,0
2013.04.05,17.3,17.75,17,17.1,131,131,0
2013.04.08,17.05,17.1,16.65,16.7,56,56,0
2013.04.09,16.65,16.85,16.5,16.65,71,71,0
2013.04.10,16.45,16.5,16.25,16.35,41,41,0
2013.04.11,16.3,16.35,16,16.25,66,66,0
2013.04.12,16.3,16.5,15.95,16,81,81,0
2013.04.15,16.15,17.6,15.9,17.5,206,206,0
2013.04.16,16.15,16.8,16,16.2,156,156,0
2013.04.17,16.4,17.4,16.4,17.1,131,131,0
2013.04.18,16.9,17.9,16.85,17.85,116,116,0
2013.04.19,17.45,17.7,17,17.35,131,131,0
2013.04.22,17.15,17.5,16.65,17.45,141,141,0
2013.04.23,17.2,17.85,16.7,16.75,186,186,0
2013.04.24,16.65,16.85,16.6,16.7,46,46,0
2013.04.25,16.55,16.65,16.35,16.6,56,56,0
2013.04.26,16.85,17.1,16.65,16.75,81,81,0
2013.04.29,16.65,16.7,16.35,16.65,71,71,0
2013.04.30,16.7,16.85,16.5,16.6,61,61,0
2013.05.01,16.65,17.1,16.5,17.1,76,76,0
2013.05.02,16.9,17,16.7,16.75,46,46,0
2013.05.03,16.85,16.85,16.5,16.6,46,46,0
2013.05.06,16.65,16.75,16.35,16.4,56,56,0
2013.05.07,16.25,16.35,16.15,16.2,36,36,0
2013.05.08,16.25,16.45,16.2,16.35,41,41,0
2013.05.09,16.4,16.75,16.4,16.6,51,51,0
2013.05.10,16.65,17,16.6,16.75,71,71,0
2013.05.13,16.8,16.9,16.7,16.7,31,31,0
2013.05.14,16.65,16.75,16.6,16.65,31,31,0
2013.05.15,16.75,16.9,16.7,16.75,41,41,0
2013.05.16,16.7,16.95,16.7,16.85,36,36,0
2013.05.17,16.7,16.9,16.6,16.65,56,56,0
2013.05.20,16.75,16.85,16.6,16.85,41,41,0
2013.05.21,16.9,17.15,16.75,17.1,61,61,0
2013.05.22,17,17.25,16.75,17.2,81,81,0
2013.05.23,17.65,18,17.15,18,136,136,0
2013.05.24,18.05,18.2,17.85,17.95,61,61,0
2013.05.28,17.7,17.95,17.7,17.85,36,36,0
2013.05.29,17.95,18.05,17.65,17.8,66,66,0
2013.05.30,17.75,18,17.65,17.85,61,61,0
2013.05.31,18.1,18.35,17.75,18.35,96,96,0
2013.06.03,18.15,18.65,18.1,18.3,96,96,0
2013.06.04,18.35,18.6,18.25,18.4,66,66,0
2013.06.05,18.5,18.8,18.45,18.75,46,46,0
2013.06.06,18.65,19.2,18.4,18.55,151,151,0
2013.06.07,18.6,18.65,18.1,18.35,86,86,0
2013.06.10,18.2,18.3,18,18.1,51,51,0
2013.06.11,18.4,18.9,18.25,18.75,96,96,0
2013.06.12,18.5,19.45,18.4,19.3,131,131,0
2013.06.13,19.45,19.45,18.75,18.95,91,91,0
2013.06.14,19,19.45,18.7,19.4,111,111,0
2013.06.17,19.2,19.3,18.9,19.1,71,71,0
2013.06.18,19.15,19.15,18.9,19,36,36,0
2013.06.19,19.05,19.15,18.2,19,186,186,0
2013.06.20,19.3,20.9,19.2,20.35,236,236,0
2013.06.21,19.95,20.75,19.7,20.2,186,186,0
2013.06.24,20.65,21.15,20.55,21,86,86,0
2013.06.25,20.7,21,20.35,20.85,116,116,0
2013.06.26,20.6,20.9,20.5,20.8,61,61,0
2013.06.27,20.6,20.65,20.25,20.35,56,56,0
2013.06.28,20.2,20.6,20,20.35,106,106,0
2013.07.01,20.2,20.2,19.65,20,91,91,0
2013.07.02,19.85,20.15,19.65,20.05,81,81,0
2013.07.05,19.8,19.9,19.4,19.4,61,61,0
2013.07.08,19.25,19.25,18.65,18.7,66,66,0
2013.07.09,18.4,18.55,18.25,18.55,46,46,0
2013.07.10,18.5,18.5,18.15,18.15,36,36,0
